AXIS,Emotion_Condition,accuracy
RG,Neutral,0.88
RG,Neutral,0.67
RG,Neutral,0.71
RG,Neutral,0.79
RG,Neutral,0.71
RG,Neutral,0.92
RG,Neutral,0.59
RG,Neutral,0.75
RG,Neutral,0.71
RG,Neutral,0.33
RG,Neutral,0.71
RG,Neutral,0.42
RG,Neutral,0.96
RG,Neutral,0.54
RG,Neutral,0.21
RG,Neutral,0.84
RG,Neutral,0.34
RG,Neutral,0.71
RG,Neutral,0.33
RG,Neutral,0.46
RG,Neutral,0.59
RG,Neutral,0.84
RG,Neutral,0.34
RG,Neutral,0.59
RG,Neutral,0.71
RG,Neutral,0.58
RG,Neutral,0.8
RG,Neutral,0.5
RG,Neutral,0.63
RG,Neutral,0.67
RG,Neutral,0.75
RG,Neutral,0.79
RG,Neutral,0.75
RG,Neutral,0.79
RG,Neutral,0.5
RG,Neutral,0.88
RG,Neutral,0.88
RG,Neutral,0.46
RG,Neutral,0.67
RG,Neutral,0.38
RG,Neutral,0.25
RG,Neutral,0.8
RG,Neutral,0.79
RG,Neutral,0.67
RG,Neutral,0.88
RG,Neutral,0.58
RG,Neutral,0.5
RG,Neutral,0.58
RG,Neutral,0.46
RG,Neutral,0.38
RG,Neutral,0.67
RG,Neutral,0.55
RG,Neutral,0.63
RG,Neutral,0.21
RG,Neutral,0.67
RG,Neutral,0.8
RG,Neutral,0.88
RG,Neutral,0.5
RG,Neutral,0.67
RG,Neutral,0.3
RG,Neutral,0.58
RG,Neutral,0.67
RG,Neutral,0.54
RG,Neutral,0.45
RG,Neutral,0.63
RG,Sadness,0.59
RG,Sadness,0.46
RG,Sadness,0.79
RG,Sadness,0.42
RG,Sadness,0.42
RG,Sadness,0.63
RG,Sadness,0.42
RG,Sadness,0.5
RG,Sadness,0.63
RG,Sadness,0.46
RG,Sadness,0.38
RG,Sadness,0.75
RG,Sadness,0.75
RG,Sadness,0.67
RG,Sadness,0.58
RG,Sadness,0.63
RG,Sadness,0.5
RG,Sadness,0.5
RG,Sadness,0.71
RG,Sadness,0.75
RG,Sadness,0.42
RG,Sadness,0.8
RG,Sadness,0.59
RG,Sadness,0.58
RG,Sadness,0.59
RG,Sadness,0.42
RG,Sadness,0.54
RG,Sadness,0.83
RG,Sadness,0.75
RG,Sadness,0.67
RG,Sadness,0.75
RG,Sadness,0.59
RG,Sadness,0.59
RG,Sadness,0.45
RG,Sadness,0.38
RG,Sadness,0.71
RG,Sadness,0.71
RG,Sadness,0.42
RG,Sadness,0.88
RG,Sadness,0.83
RG,Sadness,0.46
RG,Sadness,0.79
RG,Sadness,0.29
RG,Sadness,0.75
RG,Sadness,0.45
RG,Sadness,0.46
RG,Sadness,0.42
RG,Sadness,0.63
RG,Sadness,0.38
RG,Sadness,0.8
RG,Sadness,0.63
RG,Sadness,0.75
RG,Sadness,0.8
RG,Sadness,0.71
RG,Sadness,0.63
RG,Sadness,0.42
RG,Sadness,0.5
RG,Sadness,0.46
RG,Sadness,0.5
RG,Sadness,0.71
RG,Sadness,0.5
RG,Sadness,0.84
RG,Sadness,0.42
RG,Sadness,0.67
RG,Sadness,0.63
BY,Neutral,0.96
BY,Neutral,0.54
BY,Neutral,0.5
BY,Neutral,0.63
BY,Neutral,0.84
BY,Neutral,0.46
BY,Neutral,0.5
BY,Neutral,0.5
BY,Neutral,0.5
BY,Neutral,0.5
BY,Neutral,0.84
BY,Neutral,0.5
BY,Neutral,0.84
BY,Neutral,0.5
BY,Neutral,0.67
BY,Neutral,0.5
BY,Neutral,0.5
BY,Neutral,0.63
BY,Neutral,0.5
BY,Neutral,0.5
BY,Neutral,0.67
BY,Neutral,0.79
BY,Neutral,0.5
BY,Neutral,0.5
BY,Neutral,0.75
BY,Neutral,0.67
BY,Neutral,0.75
BY,Neutral,0.71
BY,Neutral,0.5
BY,Neutral,0.54
BY,Neutral,0.63
BY,Neutral,0.71
BY,Neutral,0.67
BY,Neutral,0.71
BY,Neutral,0.67
BY,Neutral,0.5
BY,Neutral,0.84
BY,Neutral,0.5
BY,Neutral,0.59
BY,Neutral,0.5
BY,Neutral,0.5
BY,Neutral,0.96
BY,Neutral,0.8
BY,Neutral,0.5
BY,Neutral,0.71
BY,Neutral,0.5
BY,Neutral,0.71
BY,Neutral,0.67
BY,Neutral,0.5
BY,Neutral,0.5
BY,Neutral,0.63
BY,Neutral,0.55
BY,Neutral,0.63
BY,Neutral,0.67
BY,Neutral,0.59
BY,Neutral,0.84
BY,Neutral,0.59
BY,Neutral,0.75
BY,Neutral,0.5
BY,Neutral,0.5
BY,Neutral,0.63
BY,Neutral,0.5
BY,Neutral,0.5
BY,Neutral,0.5
BY,Neutral,0.5
BY,Sadness,0.63
BY,Sadness,0.46
BY,Sadness,0.55
BY,Sadness,0.63
BY,Sadness,0.42
BY,Sadness,0.5
BY,Sadness,0.5
BY,Sadness,0.5
BY,Sadness,0.5
BY,Sadness,0.5
BY,Sadness,0.5
BY,Sadness,0.67
BY,Sadness,0.67
BY,Sadness,0.5
BY,Sadness,0.67
BY,Sadness,0.46
BY,Sadness,0.63
BY,Sadness,0.75
BY,Sadness,0.92
BY,Sadness,0.71
BY,Sadness,0.54
BY,Sadness,0.46
BY,Sadness,0.63
BY,Sadness,0.42
BY,Sadness,0.46
BY,Sadness,0.63
BY,Sadness,0.5
BY,Sadness,0.75
BY,Sadness,0.5
BY,Sadness,0.84
BY,Sadness,0.55
BY,Sadness,0.59
BY,Sadness,0.79
BY,Sadness,0.5
BY,Sadness,0.5
BY,Sadness,0.59
BY,Sadness,0.54
BY,Sadness,0.5
BY,Sadness,0.84
BY,Sadness,0.71
BY,Sadness,0.54
BY,Sadness,0.5
BY,Sadness,0.5
BY,Sadness,0.42
BY,Sadness,0.54
BY,Sadness,0.54
BY,Sadness,0.5
BY,Sadness,0.63
BY,Sadness,0.5
BY,Sadness,0.42
BY,Sadness,0.5
BY,Sadness,0.55
BY,Sadness,0.75
BY,Sadness,0.71
BY,Sadness,0.5
BY,Sadness,0.54
BY,Sadness,0.5
BY,Sadness,0.5
BY,Sadness,0.5
BY,Sadness,0.5
BY,Sadness,0.5
BY,Sadness,0.75
BY,Sadness,0.5
BY,Sadness,0.5
BY,Sadness,0.59
